Target,Model,Horizon,MAE,RMSE,MAPE(%),SMAPE(%),R2,RMSE($),MAPE_thr(%),RMSE_thr($),Pass
MG92,LSTM,30,14.683,20.4328,16.0984,16.0561,-0.5225,20.4328,,2.0,False
MG92,iTransformer,30,14.0605,21.218,15.1202,15.3126,-0.6418,21.218,,2.0,False
MG92,GUMNet-Lite,30,12.3144,22.2433,12.2817,14.4018,-0.8043,22.2433,,2.0,False
MG92,GUMNet-Ultra,30,11.1798,18.6635,11.5306,12.5985,-0.2703,18.6635,,2.0,False
MG92,ARIMAX,60,3.939,5.4402,4.5577,4.4995,0.9031,5.4402,,2.0,False
MG92,SARIMA,60,10.7985,20.8657,10.3522,11.7316,-0.4256,20.8657,,2.0,False
MG92,Jump-Gated ARIMAX-CatBoost,60,4.7435,5.9635,5.5468,5.5155,0.8692,5.9635,,2.0,False
MG92,Ridge (Linear),60,8.6665,16.9114,8.3985,9.3436,-0.052,16.9114,,2.0,False
MG92,LightGBM,60,11.5938,18.7618,12.1327,12.6985,-0.2948,18.7618,,2.0,False
MG92,LSTM,60,19.4481,29.8813,20.3446,24.2624,-2.2138,29.8813,,2.0,False
MG92,iTransformer,60,15.5927,28.1745,15.7143,17.4479,-1.8572,28.1745,,2.0,False
MG92,GUMNet-Lite,60,24.7331,33.0874,26.876,33.1341,-2.9405,33.0874,,2.0,False
MG92,GUMNet-Ultra,60,12.572,21.1376,12.8231,14.497,-0.6082,21.1376,,2.0,False
DO 0.001%,ARIMAX,1,1.7624,4.9582,1.303,1.3005,0.9788,4.9582,3.0,2.0,False
DO 0.001%,SARIMA,1,2.2982,5.6437,1.8125,1.8152,0.9726,5.6437,3.0,2.0,False
DO 0.001%,Jump-Gated ARIMAX-CatBoost,1,1.8395,5.3678,1.3105,1.3114,0.9751,5.3678,3.0,2.0,False
DO 0.001%,Ridge (Linear),1,2.2791,5.8558,1.7454,1.7703,0.9704,5.8558,3.0,2.0,False
DO 0.001%,LightGBM,1,4.9505,15.1666,3.1837,3.4423,0.8016,15.1666,3.0,2.0,False
DO 0.001%,LSTM,1,8.4417,20.9506,5.8422,6.346,0.6239,20.9506,3.0,2.0,False
DO 0.001%,iTransformer,1,10.7427,28.1912,7.1718,8.3291,0.319,28.1912,3.0,2.0,False
DO 0.001%,GUMNet-Lite,1,7.2069,16.9636,5.3686,5.6977,0.7534,16.9636,3.0,2.0,False
DO 0.001%,GUMNet-Ultra,1,6.3211,16.1872,4.5617,4.8493,0.7755,16.1872,3.0,2.0,False
DO 0.001%,ARIMAX,5,4.1405,10.705,3.0954,3.0816,0.9022,10.705,3.0,2.0,False
DO 0.001%,SARIMA,5,5.5364,12.4687,4.4235,4.4787,0.8673,12.4687,3.0,2.0,False
DO 0.001%,Jump-Gated ARIMAX-CatBoost,5,4.0691,10.5614,3.0417,3.0297,0.904,10.5614,3.0,2.0,False
DO 0.001%,Ridge (Linear),5,5.7848,13.0468,4.4425,4.6245,0.8535,13.0468,3.0,2.0,False
DO 0.001%,LightGBM,5,8.7022,21.3817,6.0917,6.7292,0.6065,21.3817,3.0,2.0,False
DO 0.001%,LSTM,5,12.1717,27.2348,8.9569,10.1221,0.3657,27.2348,3.0,2.0,False
